Occupation - Unit group - National Occupational Classification (NOC) 2021 (819) 10,,,,
Total - Occupation - Unit group - National Occupational Classification (NOC) 2021 14,"2,113,850","47,200","61,300",Alberta
0 Legislative and senior management occupations,"21,675","123,000","201,800",Alberta
00 Legislative and senior managers,"21,675","123,000","201,800",Alberta
000 Legislative and senior managers,"21,675","123,000","201,800",Alberta
0001 Legislative and senior managers,"21,675","123,000","201,800",Alberta
00010 Legislators,"1,050","53,200","72,800",Alberta
00018 Seniors managers - public and private sector,"20,625","128,000","208,400",Alberta
"1 Business, finance and administration occupations","363,210","53,600","66,800",Alberta
"10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","40,505","88,000","112,200",Alberta
"100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","40,505","88,000","112,200",Alberta
1001 Administrative services managers,"20,205","93,000","119,600",Alberta
10010 Financial managers,"6,490","95,000","136,600",Alberta
10011 Human resources managers,"5,560","97,000","115,000",Alberta
10012 Purchasing managers,"3,280","99,000","122,200",Alberta
10019 Other administrative services managers,"4,870","74,500","100,400",Alberta
1002 Managers in financial and business services,"19,225","82,000","104,800",Alberta
"10020 Insurance, real estate and financial brokerage managers","3,135","98,000","137,600",Alberta
"10021 Banking, credit and other investment managers","6,705","91,000","117,800",Alberta
"10022 Advertising, marketing and public relations managers","6,930","70,000","86,200",Alberta
10029 Other business services managers,"2,450","63,600","80,000",Alberta
1003 Managers in communication (except broadcasting),"1,080","99,000","107,000",Alberta
10030 Telecommunication carriers managers,"1,080","99,000","107,000",Alberta
11 Professional occupations in finance and business,"75,020","73,000","96,000",Alberta
111 Professional occupations in finance,"43,070","77,000","109,300",Alberta
"1110 Auditors, accountants and investment professionals","43,070","77,000","109,300",Alberta
11100 Financial auditors and accountants,"25,950","79,000","100,400",Alberta
11101 Financial and investment analysts,"3,715","95,000","135,400",Alberta
11102 Financial advisors,"10,080","71,500","124,100",Alberta
"11103 Securities agents, investment dealers and brokers","1,230","82,000","158,800",Alberta
11109 Other financial officers,"2,100","64,500","72,100",Alberta
112 Professional occupations in business,"31,945","68,000","78,200",Alberta
1120 Human resources and business service professionals,"31,945","68,000","78,200",Alberta
11200 Human resources professionals,"9,420","77,500","86,100",Alberta
11201 Professional occupations in business management consulting,"9,815","79,000","88,400",Alberta
"11202 Professional occupations in advertising, marketing and public relations","12,715","54,400","64,400",Alberta
12 Administrative and financial supervisors and specialized administrative occupations,"56,995","56,800","62,300",Alberta
120 Administrative and financial supervisors,"8,605","63,600","70,500",Alberta
1201 Administrative and financial supervisors,"8,605","63,600","70,500",Alberta
"12010 Supervisors, general office and administrative support workers","2,950","61,600","70,800",Alberta
"12011 Supervisors, finance and insurance office workers","1,965","71,000","76,500",Alberta
"12012 Supervisors, library, correspondence and related information workers",270,"41,200","43,600",Alberta
"12013 Supervisors, supply chain, tracking and scheduling coordination occupations","3,420","63,200","68,900",Alberta
121 Specialized administrative occupations,"23,775","63,600","72,000",Alberta
1210 Administrative and regulatory occupations,"20,955","64,500","74,800",Alberta
12100 Executive assistants,"4,855","63,600","78,500",Alberta
12101 Human resources and recruitment officers,"3,315","60,800","64,400",Alberta
12102 Procurement and purchasing agents and officers,"8,045","78,500","90,500",Alberta
12103 Conference and event planners,"2,115","38,000","41,160",Alberta
12104 Employment insurance and revenue officers,"2,620","60,000","59,900",Alberta
"1211 Court reporters, transcriptionists, records management technicians and statistical officers","2,825","52,400","51,300",Alberta
"12110 Court reporters, medical transcriptionists and related occupations","1,210","34,000","38,200",Alberta
12111 Health information management occupations,545,"69,500","63,000",Alberta
12112 Records management technicians,570,"58,000","61,200",Alberta
12113 Statistical officers and related research support occupations,505,"58,000","59,000",Alberta
"122 Accounting, insurance and related business administrative occupations","24,610","43,200","50,040",Alberta
"1220 Accounting, insurance and related business administrative occupations","24,610","43,200","50,040",Alberta
12200 Accounting technicians and bookkeepers,"18,480","34,000","42,080",Alberta
12201 Insurance adjusters and claims examiners,"2,985","71,500","72,300",Alberta
12202 Insurance underwriters,"1,715","70,500","75,700",Alberta
"12203 Assessors, business valuators and appraisers","1,430","70,000","76,000",Alberta
13 Administrative occupations and transportation logistics occupations,"84,130","48,000","50,520",Alberta
131 Administrative occupations,"78,720","47,200","48,640",Alberta
"1310 Administrative, property and payroll officers","41,285","51,200","53,750",Alberta
13100 Administrative officers,"31,495","50,000","52,800",Alberta
13101 Property administrators,"4,650","47,600","56,600",Alberta
13102 Payroll administrators,"5,135","58,400","57,050",Alberta
